Entidad federativa,Total,Primaria,Secundaria,Media superior,Superior,Year
Morelos,484507,197511,93783,70833,64216,2021
Nayarit,281616,132832,56585,32063,24627,2000
Nayarit,284331,130315,54598,37000,22353,2005
Nayarit,313475,137069,58449,42438,30468,2010
Nayarit,332162,137067,65275,50179,32670,2015
Nayarit,334180,138053,63703,52014,33686,2020
Nayarit,328316,135549,63452,49799,33730,2021
Nuevo León,1027564,474821,194404,111936,117415,2000
Nuevo León,1194290,509835,218899,132548,136592,2005
Nuevo León,1321521,578884,239872,147813,159845,2010
Nuevo León,1421969,561296,289057,180849,188963,2015
Nuevo León,1483961,582297,278060,181775,240161,2020
Nuevo León,1478838,580719,278606,180964,247216,2021
Oaxaca,1121540,633002,202988,95846,48300,2000
Oaxaca,1191510,605168,231198,128276,56118,2005
Oaxaca,1160947,559186,224951,136582,59512,2010
Oaxaca,1184468,531074,232776,147530,71443,2015
Oaxaca,1071987,465357,223003,145548,75499,2020
Oaxaca,1049549,457886,212995,139980,75355,2021
Puebla,1546966,829045,276542,135795,112207,2000
Puebla,1734483,802722,321428,198054,141648,2005
Puebla,1845539,840575,323997,233599,179033,2010
Puebla,1976819,797201,386829,280607,219529,2015
Puebla,1906264,764843,343687,286217,245577,2020
Puebla,1881792,749740,337035,275548,259521,2021
Querétaro,441335,225844,82757,41772,30929,2000
Querétaro,498179,234534,93324,55991,37830,2005
Querétaro,550734,251468,102161,64950,50101,2010
Querétaro,610895,249687,122316,83628,68487,2015
Querétaro,636515,257565,121345,87304,86507,2020
Querétaro,633977,256512,123297,84176,86622,2021
Quintana Roo,252136,135334,46785,26649,9268,2000
Quintana Roo,314454,153587,61009,39545,16696,2005
Quintana Roo,358497,166038,72824,45502,24576,2010
Quintana Roo,408597,176865,85213,57623,34871,2015
Quintana Roo,442142,192939,89433,66096,38661,2020
Quintana Roo,441414,192805,93262,65900,37873,2021
San Luis Potosí,709430,378707,140294,55521,36254,2000
San Luis Potosí,763569,358265,152401,80363,48641,2005
San Luis Potosí,798403,366551,150545,93965,60004,2010
San Luis Potosí,807037,327585,172995,107894,74309,2015
San Luis Potosí,757144,305212,147498,102675,79491,2020
San Luis Potosí,736425,299068,142883,97271,79906,2021
Sinaloa,774255,356943,144566,106562,72781,2000
Sinaloa,792963,363503,142158,113959,74364,2005
Sinaloa,831134,351855,158520,121828,84961,2010
Sinaloa,857254,332491,160634,136833,118896,2015
Sinaloa,856562,314293,156830,137777,132351,2020
Sinaloa,834528,309816,154636,130291,123082,2021
Sonora,645161,312525,120177,80089,60003,2000
Sonora,711963,316325,136435,93121,74043,2005
Sonora,781372,344076,145868,106065,89205,2010
Sonora,805967,319637,167385,117271,105718,2015
Sonora,789476,303903,152003,114996,120203,2020
Sonora,769626,298952,152287,113922,114049,2021
Tabasco,640474,306494,120421,79674,43336,2000
Tabasco,679547,292547,130892,90985,56971,2005
Tabasco,701352,299483,126333,97320,65796,2010
Tabasco,737523,296411,136525,108303,73334,2015
Tabasco,717842,286727,135133,111107,67444,2020
Tabasco,707924,282172,134301,111026,69850,2021
Tamaulipas,778101,378948,141736,79339,93823,2000
Tamaulipas,855960,392262,157632,102605,90323,2005
Tamaulipas,916043,407708,165261,119042,106683,2010
Tamaulipas,939648,388428,180430,137082,113227,2015
Tamaulipas,925216,369942,175384,134933,134783,2020
Tamaulipas,895431,363253,172977,127272,131721,2021
Tlaxcala,293202,147068,57942,34051,18734,2000
Tlaxcala,328949,158714,66206,39105,21955,2005
Tlaxcala,356052,156839,74036,47600,26220,2010
Tlaxcala,369614,155152,77320,53871,32132,2015
Tlaxcala,370228,151693,74758,57022,36467,2020
Tlaxcala,365653,149011,73521,56366,36979,2021
Veracruz de Ignacio de la Llave,1943679,1066540,357025,207162,97941,2000
Veracruz de Ignacio de la Llave,2104526,1020623,411452,267518,127638,2005
Veracruz de Ignacio de la Llave,2112699,1009869,407422,275008,157410,2010
Veracruz de Ignacio de la Llave,2131822,901785,441228,331842,186979,2015
Veracruz de Ignacio de la Llave,1932421,825771,380577,303892,189293,2020
Veracruz de Ignacio de la Llave,1864562,805325,364576,291514,186916,2021
Yucatán,499349,253531,94713,55094,33635,2000
Yucatán,530213,234593,103913,65278,45246,2005
Yucatán,560691,248939,97881,73525,57487,2010
Yucatán,587346,230400,116118,86841,70761,2015
Yucatán,594229,228631,107505,91280,79661,2020
Yucatán,601178,233131,109520,89160,84230,2021
Zacatecas,402933,214189,79419,32555,19777,2000
Zacatecas,418011,198656,81896,45401,27198,2005
Zacatecas,446097,204562,82536,53160,35570,2010
Zacatecas,479072,196740,95265,64459,46802,2015
Zacatecas,478383,197572,89335,62703,51034,2020
Zacatecas,466044,194700,87812,60619,48901,2021
